refactoringType,name,description,diffUrl
"Move Operation",storm,"Move Operation	public set_result_isSet(value boolean) : void from class backtype.storm.generated.DistributedRPCInvocations to public set_functionName_isSet(value boolean) : void from class backtype.storm.generated.DistributedRPC.execute_args",https://github.com/nathanmarz/storm/commit/cdb116e942666973bc4eaa0df098d5bab82739e7?diff=split
"Move Operation",k-9,"Move Operation	public move(from File, to File) : boolean from class com.fsck.k9.helper.Utility to public isQuietTime() : boolean from class com.fsck.k9.K9",https://github.com/k9mail/k-9/commit/34cfd8e5b422fa8c5b30fc0c526fb747e519feb0?diff=split
"Move Operation",titan,"Move Operation	public testCacheConcurrency() : void from class com.thinkaurelius.titan.graphdb.TitanEventualGraphTest to public testInternalAndExternalIndexing() : void from class com.thinkaurelius.titan.graphdb.TitanIndexTest",https://github.com/thinkaurelius/titan/commit/46a4fd6c01767819d7d8748de287e931cc523fa0?diff=split
"Move Operation",voldemort,"Move Operation	public setSwapStoresAndCleanState(builderForValue Builder) : Builder from class voldemort.client.protocol.pb.VoldemortAdminRequest.Builder to public clearRebalancePartitionInfo() : Builder from class voldemort.client.protocol.pb.InitiateRebalanceNodeRequest.Builder",https://github.com/voldemort/voldemort/commit/d06fcec37fb3f3d45ffbd3fe15eafce77ba64069?diff=split
"Move Operation",voldemort,"Move Operation	public addAllPartitions(values Iterable<? extends java.lang.Integer>) : Builder from class voldemort.client.protocol.pb.DeletePartitionEntriesRequest.Builder to public setReplicaToPartition(index int, value PartitionTuple) : Builder from class voldemort.client.protocol.pb.FetchPartitionEntriesRequest.Builder",https://github.com/voldemort/voldemort/commit/a7c9b91f1f02d3b4a82b53edb82dfa086743962a?diff=split
"Move Operation",voldemort,"Move Operation	package makePlan(cCluster Cluster, cStores List<StoreDefinition>, fCluster Cluster, fStores List<StoreDefinition>) : RebalancePlan from class voldemort.client.rebalance.RebalancePlanTest to public makePlan(cCluster Cluster, cStores List<StoreDefinition>, fCluster Cluster, fStores List<StoreDefinition>) : RebalancePlan from class voldemort.ClusterTestUtils",https://github.com/voldemort/voldemort/commit/c228e5f7f819bd74ceec8070ad0ededbe4220167?diff=split
"Move Operation",voldemort,"Move Operation	public isPartitionAware() : boolean from class voldemort.store.noop.NoopStorageEngine to public delete(request VoldemortRequestWrapper<ByteArray,byte[]) : boolean from class voldemort.store.routed.PipelineRoutedStore",https://github.com/voldemort/voldemort/commit/9785e684d183fbebe99c35e517a3e60333b5f5b6?diff=split
"Move Operation",k-9,"Move Operation	public getTimeFormat() : DateFormat from class com.fsck.k9.activity.K9Activity to public getThemeBackgroundColor() : int from class com.fsck.k9.activity.K9ListActivity",https://github.com/k9mail/k-9/commit/8a226972a545ef95f9edbe898e5f6423b4b1873f?diff=split
"Move Operation",voldemort,"Move Operation	public getAddedInTarget(current Set<T>, target Set<T>) : Set<T> from class voldemort.utils.RebalanceUtils to public getAddedInTarget(current Set<T>, target Set<T>) : Set<T> from class voldemort.utils.Utils",https://github.com/voldemort/voldemort/commit/0cc38b8ce750c9940eefe9b3274c4fb2f9e5437e?diff=split
"Move Operation",netty,"Move Operation	public order() : ByteOrder from class io.netty.buffer.NioBufferBackedByteBuf to public factory() : ByteBufFactory from class io.netty.buffer.HeapByteBuf",https://github.com/netty/netty/commit/754392aaa92b5edd72d941873a1fadbd1029f279?diff=split
"Extract Operation",titan,"Extract Operation	public open(config Configuration) : void extracted from public before() : void in class com.thinkaurelius.titan.graphdb.inmemory.InMemoryMetricsTest",https://github.com/thinkaurelius/titan/commit/6576a7ae2dd5228ccd764c87fa73401f533dbd2d?diff=split
"Extract Operation",netty,"Extract Operation	public run() : void extracted from public main(args String[]) : void in class io.netty.example.factorial.FactorialClient",https://github.com/netty/netty/commit/ebfc4513e0ba619592af3ba946bd1974d1becb55?diff=split
"Extract Operation",voldemort,"Extract Operation	private sanityTestClientOps() : void extracted from public testEndToEndRebootstrap() : void in class voldemort.client.EndToEndRebootstrapTest",https://github.com/voldemort/voldemort/commit/9573efd4f5909e826d5cd21c42f219171c13791d?diff=split
"Extract Operation",netty,"Extract Operation	private testFileRegion0(sb ServerBootstrap, cb Bootstrap, voidPromise boolean) : void extracted from public testFileRegion(sb ServerBootstrap, cb Bootstrap) : void in class io.netty.testsuite.transport.socket.SocketFileRegionTest",https://github.com/netty/netty/commit/699ef0784ef7527b8dc51026033d33fc86bc0230?diff=split
"Extract Operation",voldemort,"Extract Operation	private prepForWrite(selectionKey SelectionKey) : void extracted from private read(selectionKey SelectionKey) : void in class voldemort.server.niosocket.AsyncRequestHandler",https://github.com/voldemort/voldemort/commit/7871933f0f0f056e2eeac03a01db1e9cf81f8bda?diff=split
"Extract Operation",k-9,"Extract Operation	private decodeEncodedWord(body String, begin int, end int) : String extracted from public decodeEncodedWords(body String) : String in class org.apache.james.mime4j.decoder.DecoderUtil",https://github.com/k9mail/k-9/commit/7d47328b2e017b0e5eaf371ade4e4197145d7035?diff=split
"Extract Operation",k-9,"Extract Operation	private writeAttachmentToStorage(directory File) : File extracted from public writeFile(directory File) : void in class com.fsck.k9.view.AttachmentView",https://github.com/k9mail/k-9/commit/6a1905b7b7977acffc7b39309fcc347b40f9817e?diff=split
"Extract Operation",k-9,"Extract Operation	private appendSignature(text String) : String extracted from private createMessage() : MimeMessage in class com.fsck.k9.activity.MessageCompose",https://github.com/k9mail/k-9/commit/f8eb22f1686872ea343ecfd96da1e8ec0302bf13?diff=split
"Extract Operation",voldemort,"Extract Operation	private initiateFetchRequest(outputStream DataOutputStream, storeName String, partitionList List<Integer>, filter VoldemortFilter, fetchValues boolean) : void extracted from public fetchPartitionKeys(nodeId int, storeName String, partitionList List<Integer>, filter VoldemortFilter) : Iterator<ByteArray> in class voldemort.client.protocol.admin.ProtoBuffAdminClientRequestFormat",https://github.com/voldemort/voldemort/commit/b46736178349cddaab6500400b7f204b8753f834?diff=split
"Extract Operation",voldemort,"Extract Operation	public getRawStore(storeName String, resolver InconsistencyResolver<Versioned<V>>, clientId UUID) : Store<K,V,T> extracted from public getRawStore(storeName String, resolver InconsistencyResolver<Versioned<V>>) : Store<K,V,T> in class voldemort.StaticStoreClientFactory",https://github.com/voldemort/voldemort/commit/ddded7cf0af82cc1a789ca8426ef6c48744bf445?diff=split
"Rename Class",RxJava,"Rename Class	rx.operators.OperationSkipTest renamed to rx.operators.OperatorSkipTimedTest",https://github.com/ReactiveX/RxJava/commit/e98cd16be2111f3c54fadc587d1632955f2c1a10?diff=split
"Rename Class",RxJava,"Rename Class	rx.operators.OperatorDelaySubscription renamed to rx.operators.OnSubscribeDelaySubscription",https://github.com/ReactiveX/RxJava/commit/744e1034d14005fcad7191b0e920342d4a163fee?diff=split
"Rename Class",netty,"Rename Class	io.netty.channel.socket.nio.AbstractNioByteChannel.NioByteUnsafe renamed to io.netty.channel.socket.nio.AbstractNioByteChannel.AbstractNioByteUnsafe",https://github.com/netty/netty/commit/16a40883447f94ec6e56ef73cf374a9284b22ff7?diff=split
"Rename Class",titan,"Rename Class	com.thinkaurelius.titan.diskstorage.TransactionHandle renamed to com.thinkaurelius.titan.diskstorage.BaseTransaction",https://github.com/thinkaurelius/titan/commit/f9ffa4f752bbeae340f945327de080e0743378c6?diff=split
"Rename Class",netty,"Rename Class	org.jboss.netty.handler.codec.spdy.SpdyZlibDecoder renamed to io.netty.handler.codec.spdy.SpdyJZlibDecoder",https://github.com/netty/netty/commit/b22ebbe4309f37a80cbed53b58e9982c9273f65c?diff=split
"Rename Class",RxJava,"Rename Class	rx.operators.OperationRepeatTest renamed to rx.operators.OperatorRepeatTest",https://github.com/ReactiveX/RxJava/commit/85debff560f2abecbc6088994371510bbfaf820b?diff=split
"Rename Class",titan,"Rename Class	com.thinkaurelius.titan.graphdb.thrift.ThriftGraphMetricsTest renamed to com.thinkaurelius.titan.graphdb.thrift.ThriftPartitionGraphTest",https://github.com/thinkaurelius/titan/commit/46a4fd6c01767819d7d8748de287e931cc523fa0?diff=split
"Rename Class",titan,"Rename Class	com.thinkaurelius.titan.graphdb.thrift.InternalCassandraEventualGraphTest renamed to com.thinkaurelius.titan.graphdb.thrift.ThriftGraphTest",https://github.com/thinkaurelius/titan/commit/10c4c82133ba5f7d4bd266c64bc51fa494be9ef0?diff=split
"Rename Class",RxJava,"Rename Class	rx.operators.OperationOnErrorResumeNextViaObservableTest renamed to rx.operators.OperatorOnErrorResumeNextViaObservableTest",https://github.com/ReactiveX/RxJava/commit/b3e7b7beea199260d57d77f019476306a6e825e4?diff=split
"Rename Class",RxJava,"Rename Class	org.rx.operations.AtomicWatcherMultiThreaded.UnitTest.TestSingleThreadedWatchable renamed to org.rx.operations.AtomicObserverMultiThreaded.UnitTest.TestSingleThreadedObservable",https://github.com/ReactiveX/RxJava/commit/2a4122c11b95eaa3213c2c3e54a93d28b9231eec?diff=split
