junit.runner.BaseTestRunner.useReoadingTestSuiteLoader()	true	false	true	1	3	0	3
org.junit.tests.junit3compatibility.JUnit38ClassRunnerTest.assertAnnotationFiltering(JUnit38ClassRunner)	true	false	false	1	2	2	2
org.junit.rules.ExpectedExceptionMatcher.allOfTheMatchers()	true	false	true	1	1	0	1
org.junit.rules.TestRule.applyAll(Iterable,Statement,Description)	true	true	true	1	2	0	2
org.junit.rules.TemporaryFolder.createTemporaryFolderIn(File)	true	false	false	1	2	2	2
org.junit.runners.Parameterized.TestClassRunnerForParameters.createTestUsingFieldInjection()	true	false	true	1	1	0	1
junit.framework.JUnit4TestAdapterCache.createTestSuite(Plan)	true	false	true	1	1	0	1
org.junit.Assert.assertArraysAreSameLength(Object,Object,String)	true	false	true	1	2	0	2
org.junit.tests.validation.BadlyFormedClassesTest.exceptionMessageFrom(Class)	true	false	false	2	3	3	3
org.junit.runner.Description.methodStringMatcher()	true	false	true	4	2	0	2
org.junit.tests.experimental.theories.TheoryTestUtils.runTheoryClass(Class)	true	true	false	2	0	0	0
junit.swingui.ProgressBar.updateBarColor()	true	false	true	2	2	0	2
junit.runner.BaseTestRunner.processArguments(String[])	true	true	false	2	2	0	2
junit.framework.JUnit4TestAdapterCache.createTest(Description)	true	false	false	2	2	2	2
junit.framework.JUnit4TestAdapterCache.createSingleTest(Description)	true	false	true	1	2	0	2
org.junit.internal.runners.JUnit4ClassRunner.chain(TestMethod)	true	false	true	2	1	0	2
junit.framework.TestFailure.exceptionMessage()	true	true	false	1	1	2	2
org.junit.internal.runners.statements.FailOnTimeout.getStackTrace(Thread)	true	false	false	1	1	1	1
